student_id,name,email,department,semester,year_of_study
1,Aarav Banerjee,aarav.banerjee@college.edu,AI,6,3
2,Aarav Bose,aarav.bose@college.edu,Information Technology,7,4
3,Aarav Chatterjee,aarav.chatterjee@college.edu,Data Science,1,2
4,Aarav Gill,aarav.gill@college.edu,AI,1,4
5,Aarav Iyer,aarav.iyer@college.edu,AI,1,4
6,Aarav Jain,aarav.jain@college.edu,Information Technology,5,3
7,Aarav Joshi,aarav.joshi@college.edu,Data Science,4,4
8,Aarav Kulkarni,aarav.kulkarni@college.edu,Data Science,5,3
9,Aarav Mehta,aarav.mehta@college.edu,AI,4,1
10,Aarav Menon,aarav.menon@college.edu,Computer Science,8,1
11,Aarav Reddy,aarav.reddy@college.edu,AI,5,3
12,Aarav Roy,aarav.roy@college.edu,AI,5,1
13,Aarav Sharma,aarav.sharma@college.edu,AI,6,2
14,Aarohi Bajaj,aarohi.bajaj@college.edu,AI,3,4
15,Aarohi Banerjee,aarohi.banerjee@college.edu,Information Technology,5,2
16,Aarohi Bhatt,aarohi.bhatt@college.edu,Data Science,6,4
17,Aarohi Chauhan,aarohi.chauhan@college.edu,Information Technology,2,1
18,Aarohi Dubey,aarohi.dubey@college.edu,Information Technology,3,2
19,Aarohi Gill,aarohi.gill@college.edu,Information Technology,8,1
20,Aarohi Iyer,aarohi.iyer@college.edu,AI,5,4
21,Aarohi Jain,aarohi.jain@college.edu,Computer Science,7,3
22,Aarohi Khanna,aarohi.khanna@college.edu,Data Science,1,3
23,Aarohi Kulkarni,aarohi.kulkarni@college.edu,Computer Science,2,2
24,Aarohi Pillai,aarohi.pillai@college.edu,Information Technology,2,1
25,Aarohi Singh,aarohi.singh@college.edu,Information Technology,8,1
26,Abhinav Chauhan,abhinav.chauhan@college.edu,Computer Science,6,2
27,Abhinav Kapoor,abhinav.kapoor@college.edu,Computer Science,2,3
28,Abhinav Mehta,abhinav.mehta@college.edu,Computer Science,3,4
29,Abhinav Menon,abhinav.menon@college.edu,Information Technology,5,2
30,Abhinav Mukherjee,abhinav.mukherjee@college.edu,Information Technology,5,4
31,Abhinav Patel,abhinav.patel@college.edu,Data Science,7,3
32,Abhinav Patil,abhinav.patil@college.edu,Data Science,8,1
33,Abhinav Sen,abhinav.sen@college.edu,Information Technology,1,3
34,Aditi Bhatt,aditi.bhatt@college.edu,Computer Science,6,2
35,Aditi Bose,aditi.bose@college.edu,Computer Science,1,1
36,Aditi Das,aditi.das@college.edu,Data Science,2,2
37,Aditi Khanna,aditi.khanna@college.edu,Information Technology,8,2
38,Aditi Roy,aditi.roy@college.edu,Data Science,7,3
39,Aditi Saxena,aditi.saxena@college.edu,Data Science,1,2
40,Aditi Verma,aditi.verma@college.edu,AI,3,3
41,Aditya Banerjee,aditya.banerjee@college.edu,AI,5,1
42,Aditya Bhatt,aditya.bhatt@college.edu,AI,2,3
43,Aditya Bose,aditya.bose@college.edu,Computer Science,7,1
44,Aditya Chauhan,aditya.chauhan@college.edu,Information Technology,1,3
45,Aditya Das,aditya.das@college.edu,Information Technology,6,4
46,Aditya Ghosh,aditya.ghosh@college.edu,Information Technology,3,4
47,Aditya Kulkarni,aditya.kulkarni@college.edu,Information Technology,3,2
48,Aditya Shah,aditya.shah@college.edu,AI,1,3
49,Aditya Sharma,aditya.sharma@college.edu,Computer Science,5,3
50,Aditya Thakur,aditya.thakur@college.edu,Computer Science,1,1
51,Aditya Tiwari,aditya.tiwari@college.edu,AI,2,2
52,Aishwarya Bhatt,aishwarya.bhatt@college.edu,Computer Science,1,3
53,Aishwarya Chauhan,aishwarya.chauhan@college.edu,AI,3,2
54,Aishwarya Iyer,aishwarya.iyer@college.edu,Information Technology,7,4
55,Aishwarya Malhotra,aishwarya.malhotra@college.edu,AI,1,3
56,Aishwarya Mishra,aishwarya.mishra@college.edu,Information Technology,5,3
57,Aishwarya Mukherjee,aishwarya.mukherjee@college.edu,Information Technology,8,2
58,Aishwarya Patil,aishwarya.patil@college.edu,Data Science,7,3
59,Aishwarya Reddy,aishwarya.reddy@college.edu,AI,6,2
60,Aishwarya Roy,aishwarya.roy@college.edu,Data Science,4,3
61,Aishwarya Verma,aishwarya.verma@college.edu,AI,1,1
62,Akash Bhatt,akash.bhatt@college.edu,AI,5,2
63,Akash Chauhan,akash.chauhan@college.edu,Data Science,7,3
64,Akash Chopra,akash.chopra@college.edu,Data Science,5,4
65,Akash Desai,akash.desai@college.edu,AI,6,3
66,Akash Ghosh,akash.ghosh@college.edu,Computer Science,3,4
67,Akash Joshi,akash.joshi@college.edu,Information Technology,5,4
68,Akash Khanna,akash.khanna@college.edu,Data Science,7,1
69,Akash Kulkarni,akash.kulkarni@college.edu,Information Technology,5,2
70,Akash Nair,akash.nair@college.edu,Computer Science,5,3
71,Akash Patil,akash.patil@college.edu,Computer Science,5,1
72,Akash Tiwari,akash.tiwari@college.edu,Computer Science,2,3
73,Aman Agarwal,aman.agarwal@college.edu,Data Science,2,4
74,Aman Bhatt,aman.bhatt@college.edu,Computer Science,3,2
75,Aman Chopra,aman.chopra@college.edu,Data Science,1,3
76,Aman Das,aman.das@college.edu,Computer Science,5,3
77,Aman Desai,aman.desai@college.edu,Information Technology,6,4
78,Aman Iyer,aman.iyer@college.edu,Information Technology,1,3
79,Aman Joshi,aman.joshi@college.edu,AI,6,3
80,Aman Khanna,aman.khanna@college.edu,Information Technology,1,4
81,Aman Kumar,aman.kumar@college.edu,AI,3,1
82,Aman Mukherjee,aman.mukherjee@college.edu,Information Technology,5,4
83,Aman Rao,aman.rao@college.edu,Data Science,5,1
84,Aman Roy,aman.roy@college.edu,Information Technology,4,2
85,Aman Shah,aman.shah@college.edu,AI,6,1
86,Aman Sharma,aman.sharma@college.edu,AI,1,1
87,Aman Singh,aman.singh@college.edu,Computer Science,1,2
88,Aman Verma,aman.verma@college.edu,Data Science,8,1
89,Ananya Bhat,ananya.bhat@college.edu,Information Technology,8,4
90,Ananya Chatterjee,ananya.chatterjee@college.edu,Computer Science,2,1
91,Ananya Das,ananya.das@college.edu,Information Technology,4,2
92,Ananya Ghosh,ananya.ghosh@college.edu,Information Technology,7,4
93,Ananya Gupta,ananya.gupta@college.edu,Computer Science,8,2
94,Ananya Saxena,ananya.saxena@college.edu,Computer Science,7,2
95,Ananya Thakur,ananya.thakur@college.edu,Computer Science,2,3
96,Ananya Tiwari,ananya.tiwari@college.edu,Computer Science,2,3
97,Anil Nair,anil.nair@college.edu,Computer Science,2,2
98,Anil Patil,anil.patil@college.edu,Information Technology,6,2
99,Anil Rao,anil.rao@college.edu,Computer Science,6,2
100,Anil Reddy,anil.reddy@college.edu,Data Science,3,3
101,Anjali Agarwal,anjali.agarwal@college.edu,AI,3,3
102,Anjali Chatterjee,anjali.chatterjee@college.edu,Computer Science,2,1
103,Anjali Das,anjali.das@college.edu,Computer Science,4,1
104,Anjali Ghosh,anjali.ghosh@college.edu,Information Technology,1,2
105,Anjali Gill,anjali.gill@college.edu,Computer Science,6,4
106,Anjali Kapoor,anjali.kapoor@college.edu,Computer Science,4,4
107,Anjali Malhotra,anjali.malhotra@college.edu,Computer Science,5,3
108,Anjali Mehta,anjali.mehta@college.edu,Information Technology,6,3
109,Anjali Nair,anjali.nair@college.edu,Computer Science,6,3
110,Anjali Pillai,anjali.pillai@college.edu,AI,3,2
111,Anjali Rao,anjali.rao@college.edu,Information Technology,1,4
